x,y,z,nx,ny,nz
1.08657,2.30287,4.27234,3.45944,-2.91771,0.447809
1.16554,2.90927,0.778502,5.67811,-4.28979,-2.27183
1.17173,2.92341,0.808031,5.60839,-4.54182,-2.17999
1.1783,2.93617,0.837931,5.53174,-4.77657,-2.09154
1.18526,2.94755,0.868202,5.44817,-4.99404,-2.00648
1.1926,2.95756,0.898843,5.35768,-5.19424,-1.9248
1.20033,2.96619,0.929855,5.26028,-5.37716,-1.84652
1.20844,2.97344,0.961238,5.15594,-5.5428,-1.77161
1.21694,2.97932,0.992992,5.04469,-5.69117,-1.7001
1.22582,2.98382,1.02512,4.92652,-5.82226,-1.63197
1.23509,2.98694,1.05761,4.80142,-5.93607,-1.56722
1.24474,2.98869,1.09048,4.66941,-6.03261,-1.50587
1.25477,2.98906,1.12371,4.53047,-6.11187,-1.4479
1.26519,2.98805,1.15732,4.38461,-6.17385,-1.39332
1.276,2.98567,1.1913,4.23183,-6.21855,-1.34212
1.28719,2.98191,1.22565,4.07213,-6.24598,-1.29431
1.29876,2.97677,1.26037,3.90551,-6.25613,-1.24989
1.31072,2.97026,1.29546,3.73196,-6.24901,-1.20885
1.32306,2.96237,1.33092,3.5515,-6.22461,-1.17121
1.33579,2.9531,1.36676,3.36411,-6.18293,-1.13694
1.3489,2.94246,1.40296,3.1698,-6.12398,-1.10607
1.3624,2.93044,1.43953,2.96858,-6.04775,-1.07858
1.37628,2.91704,1.47648,2.76043,-5.95424,-1.05448
1.39054,2.90227,1.51379,2.54535,-5.84345,-1.03376
1.40519,2.88612,1.55148,2.32336,-5.71539,-1.01644
1.42023,2.8686,1.58954,2.09445,-5.57005,-1.00249
1.43565,2.84969,1.62797,1.85861,-5.40744,-0.99194
1.45082,2.83052,1.66661,1.62822,-5.24192,-0.98293
1.46513,2.81219,1.70532,1.41562,-5.08786,-0.973622
1.47855,2.79471,1.7441,1.22082,-4.94526,-0.964018
1.49111,2.77806,1.78293,1.04381,-4.81412,-0.954116
1.50279,2.76226,1.82184,0.884611,-4.69445,-0.943917
1.5136,2.7473,1.8608,0.743206,-4.58623,-0.933421
1.52353,2.73319,1.89984,0.619599,-4.48948,-0.922628
1.53259,2.71991,1.93893,0.513791,-4.40419,-0.911537
1.54078,2.70748,1.97809,0.425781,-4.33037,-0.900149
1.54809,2.69589,2.01731,0.355569,-4.268,-0.888464
1.55453,2.68514,2.0566,0.303155,-4.2171,-0.876481
1.5601,2.67523,2.09596,0.26854,-4.17766,-0.864201
1.5648,2.66617,2.13537,0.251723,-4.14968,-0.851624
1.56862,2.65795,2.17485,0.252705,-4.13316,-0.83875
1.57156,2.65057,2.2144,0.271484,-4.1281,-0.825579
1.57364,2.64403,2.25401,0.308062,-4.13451,-0.81211
1.57483,2.63833,2.29368,0.362439,-4.15238,-0.798344
1.57516,2.63348,2.33342,0.434613,-4.18171,-0.784281
1.57461,2.62947,2.37322,0.524586,-4.2225,-0.76992
1.57319,2.6263,2.41309,0.632358,-4.27475,-0.755262
1.5709,2.62397,2.45302,0.757927,-4.33847,-0.740307
1.56773,2.62249,2.49302,0.901295,-4.41365,-0.725055
1.56369,2.62185,2.53308,1.06246,-4.50029,-0.709505
1.55878,2.62205,2.5732,1.24143,-4.59839,-0.693658
1.55299,2.62309,2.61339,1.43819,-4.70795,-0.677514
1.54673,2.62442,2.65361,1.6386,-4.82078,-0.66246
1.54041,2.62547,2.69384,1.82849,-4.9287,-0.649884
